"","Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_MRP","Outlet_Identifier","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales","source","Item_Type_Combined","Outlet_Years"
"1","FDA15","9.3","0",0.016047301,249.8092,"OUT049","1","1","1",3735.138,"train","0",14
"2","DRC01","5.92","1",0.019278216,48.2692,"OUT018","1","3","2",443.4228,"train","1",4
"3","FDN15","17.5","0",0.016760075,141.618,"OUT049","1","1","1",2097.27,"train","0",14
"4","FDX07","19.2","1",0.0659527800739932,182.095,"OUT010","0","3","0",732.38,"train","0",15
"5","NCD19","8.93","0",0.0659527800739932,53.8614,"OUT013","2","3","1",994.7052,"train","2",26
"6","FDP36","10.395","1",0.0659527800739932,51.4008,"OUT018","1","3","2",556.6088,"train","0",4
"7","FDO10","13.65","1",0.012741089,57.6588,"OUT013","2","3","1",343.5528,"train","0",26
"8","FDP10",NA,"0",0.127469857,107.7622,"OUT027","1","3","3",4022.7636,"train","0",28
"9","FDH17","16.2","1",0.016687114,96.9726,"OUT045","0","2","1",1076.5986,"train","0",11
"10","FDU28","19.2","1",0.09444959,187.8214,"OUT017","0","2","1",4710.535,"train","0",6
"11","FDY07","11.8","0",0.0659527800739932,45.5402,"OUT049","1","1","1",1516.0266,"train","0",14
"12","FDA03","18.5","1",0.045463773,144.1102,"OUT046","0","1","1",2187.153,"train","0",16
"13","FDX32","15.1","1",0.1000135,145.4786,"OUT049","1","1","1",1589.2646,"train","0",14
"14","FDS46","17.6","1",0.047257328,119.6782,"OUT046","0","1","1",2145.2076,"train","0",16
"15","FDF32","16.35","0",0.0680243,196.4426,"OUT013","2","3","1",1977.426,"train","0",26
"16","FDP49","9","1",0.069088961,56.3614,"OUT046","0","1","1",1547.3192,"train","0",16
"17","NCB42","11.8","0",0.008596051,115.3492,"OUT018","1","3","2",1621.8888,"train","2",4
"18","FDP49","9","1",0.069196376,54.3614,"OUT049","1","1","1",718.3982,"train","0",14
"19","DRI11",NA,"0",0.034237682,113.2834,"OUT027","1","3","3",2303.668,"train","1",28
"20","FDU02","13.35","0",0.10249212,230.5352,"OUT035","0","2","1",2748.4224,"train","0",9
"21","FDN22","18.85","1",0.138190277,250.8724,"OUT013","2","3","1",3775.086,"train","0",26
"22","FDW12",NA,"1",0.035399923,144.5444,"OUT027","1","3","3",4064.0432,"train","0",28
"23","NCB30","14.6","0",0.025698134,196.5084,"OUT035","0","2","1",1587.2672,"train","2",9
"24","FDC37",NA,"0",0.057556998,107.6938,"OUT019","0","1","0",214.3876,"train","0",28
"25","FDR28","13.85","1",0.025896485,165.021,"OUT046","0","1","1",4078.025,"train","0",16
"26","NCD06","13","0",0.099887103,45.906,"OUT017","0","2","1",838.908,"train","2",6
"27","FDV10","7.645","1",0.066693437,42.3112,"OUT035","0","2","1",1065.28,"train","0",9
"28","DRJ59","11.65","0",0.019356132,39.1164,"OUT013","2","3","1",308.9312,"train","1",26
"29","FDE51","5.925","1",0.161466534,45.5086,"OUT010","0","3","0",178.4344,"train","0",15
"30","FDC14",NA,"1",0.072221801,43.6454,"OUT019","0","1","0",125.8362,"train","0",28
"31","FDV38","19.25","0",0.170348551,55.7956,"OUT010","0","3","0",163.7868,"train","0",15
"32","NCS17","18.6","0",0.080829372,96.4436,"OUT018","1","3","2",2741.7644,"train","2",4
"33","FDP33","18.7","0",0.0659527800739932,256.6672,"OUT018","1","3","2",3068.0064,"train","0",4
"34","FDO23","17.85","0",0.0659527800739932,93.1436,"OUT045","0","2","1",2174.5028,"train","0",11
"35","DRH01","17.5","0",0.097904029,174.8738,"OUT046","0","1","1",2085.2856,"train","1",16
"36","NCX29","10","0",0.089291137,146.7102,"OUT049","1","1","1",3791.0652,"train","2",14
"37","FDV20",NA,"1",0.059511812,128.0678,"OUT027","1","3","3",2797.6916,"train","0",28
"38","DRZ11","8.85","1",0.113123893,122.5388,"OUT018","1","3","2",1609.9044,"train","1",4
"39","FDX10",NA,"1",0.123111453,36.9874,"OUT027","1","3","3",388.1614,"train","0",28
"40","FDB34",NA,"0",0.026480954,87.6198,"OUT027","1","3","3",2180.495,"train","0",28
"41","FDU02","13.35","0",0.102511504,230.6352,"OUT046","0","1","1",3435.528,"train","0",16
"42","FDK43","9.8","0",0.02681843,126.002,"OUT013","2","3","1",2150.534,"train","0",26
"43","FDA46","13.6","0",0.117818348,192.9136,"OUT049","1","1","1",2527.3768,"train","0",14
"44","FDC02","21.35","0",0.069102831,259.9278,"OUT018","1","3","2",6768.5228,"train","0",4
"45","FDL50","12.15","1",0.042277867,126.5046,"OUT013","2","3","1",373.5138,"train","0",26
"46","FDM39","6.42","0",0.089498926,178.1002,"OUT010","0","3","0",358.2004,"train","0",15
"47","NCP05","19.6","0",0.0659527800739932,153.3024,"OUT045","0","2","1",2428.8384,"train","2",11
